ID,Área,Funcionalidad,Requisito_detallado,Prioridad,Roles,Pantallas_UI,Entidades_dominio,Tablas_DB_sugeridas,Storage_sugerido,API_sugerida,Integraciones,Reglas_validación,Auditoría_bitácora,Notificaciones,Pruebas_sugeridas,Criterios_aceptación,Dependencias,Estatus,Versión_objetivo,Owner
RM-011,Transformación,Reglas de mapeo configurables,"El sistema deberá permitir definir reglas de mapeo (por dominio) desde campos crudos a campos normalizados, con versionado y capacidad de rollback. Idealmente sin despliegue de código para cambios menores.",Alta (P0),Admin; Backend; Quant,Admin > Mappings (opcional),MappingRuleSet; SourceAdapter,mapping_rule_sets; mapping_rule_versions,—,GET/PUT /mappings/{domain}; POST /mappings/{domain}/publish,Config store (GitOps opcional),Validación de mapeo contra schema; no permitir publicar reglas incompletas; version increment.,mapping_published; mapping_rolled_back,Notificación a Analistas al publicar cambios de mapeo (opcional),Unit: validator; Integration: apply mapping; Regression fixtures,Mapeos se aplican en pipeline; cambios quedan auditados y versionados; se puede volver a versión anterior.,RM-010,BACKLOG,MVP v0.1,Backend
RM-012,Transformación,Limpieza y estandarización de datos,"El sistema deberá limpiar y estandarizar formatos (fechas, divisas, porcentajes, locales) a formatos canónicos y registrar errores de parseo por campo.",Alta (P0),Backend; Sistema,—,CanonicalValue; ParseError,parse_errors; profile_snapshots (campos tipados),—,— (interno),Locale inference (opcional),Typing estricto; currency_code ISO; fechas a ISO-8601; % a decimal; registrar parse_errors con evidencia.,parse_error_logged; canonicalization_applied,—,Unit: parsers; Integration: pipeline; Property-based tests para formatos,Campos numéricos quedan tipados; parsing soporta formatos comunes; errores quedan registrados y visibles para troubleshooting.,RM-011,BACKLOG,MVP v0.1,Backend
RM-013,Métricas,Catálogo de definiciones de métricas,"El sistema deberá mantener un registro versionado de métricas (nombre, fórmula/algoritmo, insumos requeridos, unidad, rango válido, y constraints). Será la fuente única para cómputo y reporteo.",Alta (P0),Quant; Backend; Admin,Admin > Métricas (catálogo),MetricDefinition; MetricConstraint,metric_definitions; metric_definition_versions; metric_constraints,—,GET/POST/PUT /metrics/definitions; POST /metrics/definitions/{id}/publish,—,No permitir publicar métrica sin insumos; validar unidades; constraints evaluables.,metric_definition_published; metric_definition_changed,Notificación a Analistas si cambia una métrica usada en reportes (opcional),Unit: constraints; Integration: compute using definitions; Contract: schema defs,Cada métrica calculada referencia una definición; definiciones son versionadas y visibles; constraints se evalúan y registran.,RM-010,BACKLOG,MVP v0.1,Backend/Quant
RM-014,Métricas,Cálculo de métricas core,"El sistema deberá calcular métricas base por broker y por periodo (p.ej. rendimiento, volatilidad, drawdown, win-rate) a partir de los datos disponibles, y manejar explícitamente el caso de 'datos insuficientes'.",Alta (P0),Quant; Sistema,Dashboard > Broker (charts),MetricValue; ProfileSnapshot,metric_values; metric_calculation_jobs,—,GET /brokers/{id}/metrics?from=...&to=...,Frontend SPA; API REST/GraphQL,Si faltan insumos => status=INSUFFICIENT_DATA; ventanas temporales consistentes; no mezclar fuentes incompatibles.,metric_calculated; metric_missing_inputs,—,Unit: fórmulas; Integration: time series; Regression: fixtures,Métricas core se calculan para brokers con insumos; se generan series temporales; 'INSUFFICIENT_DATA' es trazable y consistente.,RM-013,BACKLOG,MVP v0.1,Quant
RM-015,Métricas,Métricas de costos/fees,"El sistema deberá calcular métricas relacionadas a costos/fees/spread cuando existan, documentando supuestos y anexándolos a reportes y exportaciones.",Media (P1),Quant; Analista,Dashboard > Broker (costos); Reporte (metodología),MetricValue; Assumption,metric_values; metric_assumptions,—,GET /brokers/{id}/metrics/costs; GET /reports/{id},—,Supuestos obligatorios por métrica; rangos plausibles; unidad consistente.,metric_assumption_recorded,—,Unit: cálculo; Review: supuestos; Integration: report includes assumptions,"Las métricas de costos incluyen supuestos visibles; resultados reproducibles; si faltan datos, se marca insuficiente.",RM-013,BACKLOG,v0.2,Quant
RM-016,Métricas,Flags de riesgo/compliance basados en reglas,"El sistema deberá evaluar reglas determinísticas para generar banderas (p.ej. disclosures faltantes, claims anómalos) y adjuntar evidencia (campo crudo + snapshot) para cada flag.",Baja (P2),Quant; Analista; Admin,Dashboard > Broker (riesgos/flags),RiskFlag; Rule,risk_rules; risk_flags; risk_flag_evidence,—,GET /brokers/{id}/flags; GET /rules/risk,Rules engine (simple),Reglas versionadas; cada flag incluye rule_id y evidencia; severidad limitada a catálogo.,risk_flag_created; risk_rule_published,Notificación opcional cuando aparece flag crítico,Unit: rules; Integration: evidence links,Las banderas son reproducibles; cada flag incluye evidencia consultable; reglas se pueden versionar y auditar.,"RM-013,RM-020",BACKLOG,v0.3,Quant/Backend
RM-017,Métricas,"Benchmarks, percentiles y rankings","El sistema deberá generar agregados cross-broker (percentiles, rankings, peer groups) con definiciones versionadas de peer group y desempate determinístico.",Alta (P0),Analista; Viewer,Dashboard > Rankings; Dashboard > Comparar,Benchmark; PeerGroup,benchmarks; peer_groups; peer_group_rules; ranking_snapshots,—,GET /benchmarks; GET /rankings?metric=...,Frontend SPA; API REST/GraphQL,Peer group definido y versionado; ties -> orden por broker_id; reproducibilidad.,benchmark_computed; peer_group_published,—,Unit: ranking; Integration: aggregation queries; Performance tests,Rankings reproducibles; peer groups visibles; se puede filtrar y exportar; no hay inconsistencias entre UI y export.,RM-014,BACKLOG,MVP v0.1,Quant
RM-018,Calidad de datos,Score de completitud,"El sistema deberá calcular un score de completitud por broker y por métrica en [0,1], basado en disponibilidad de insumos y cobertura temporal. Debe mostrarse en dashboard y reportes.",Alta (P0),Analista; Viewer,Dashboard > Brokers (columna completitud); Dashboard > Broker,CompletenessScore,completeness_scores; metric_input_graph,—,GET /brokers/{id}/completeness; GET /completeness/summary,—,Score definido por reglas y versionado; no ocultar datos faltantes; explainability (por insumo faltante).,completeness_computed,—,Unit: rules; Integration: UI display; Snapshot tests,El score coincide con reglas; UI muestra score y explicación; reportes lo incluyen por broker.,"RM-013,RM-014",BACKLOG,MVP v0.1,Backend/Quant
RM-019,Calidad de datos,Detección de anomalías,"El sistema deberá detectar anomalías (saltos bruscos de métricas, huecos temporales, cambios de parser/mapping) y etiquetar resultados afectados; debe permitir filtrar anomalías en validación del algoritmo.",Media (P1),Analista; Quant; DevOps,Dashboard > Anomalías; Run Explorer (filtros),AnomalyEvent; AnomalyTag,anomaly_events; anomaly_tags,—,GET /anomalies; GET /runs/{id}?include_anomalies=true,—,"Umbrales configurables; registrar evidencia (series, punto de cambio); diferenciar data vs parser change.",anomaly_detected; anomaly_acknowledged,Notificación a Analistas/DevOps si anomalía severa,Unit: detection; Integration: filtering; Regression: known anomalies,Anomalías aparecen con evidencia; se pueden excluir en runs; el sistema no mezcla datos 'contaminados' sin avisar.,"RM-014,RM-011,RM-009",BACKLOG,v0.2,Quant/Backend
RM-020,Auditabilidad,Lineage de métricas a raw data,"El sistema deberá proveer trazabilidad desde cualquier valor de métrica/ranking/reporte hasta los raw_records y transformaciones usadas (parser_version, mapping_version, metric_definition_version).",Alta (P0),Analista; Admin,Dashboard > Drill-down/Lineage; Reporte > Appendix,LineageLink; EvidencePointer,lineage_links; lineage_evidence,—,GET /metrics/{metric_value_id}/lineage; GET /reports/{id}/lineage,—,Cada cálculo genera links; links no se pierden al re-procesar; permisos respetan RBAC.,lineage_created; lineage_accessed,—,Integration: drill-down; Unit: lineage builder,Desde UI/reporte se puede abrir el lineage y ver raw_records asociados; versiones aparecen; auditoría registra accesos.,"RM-009,RM-013",BACKLOG,MVP v0.1,Backend
RM-021,Validación de algoritmo,Contrato de integración del algoritmo,El sistema deberá integrar el algoritmo de optimización del cliente mediante una interfaz definida (CLI/API/librería) con versionado (algorithm_build_id) y entradas/salidas determinísticas o con tolerancia definida.,Alta (P0),Quant; Backend; DevOps,Run Explorer > Detalle run (inputs/outputs),AlgorithmBuild; AlgorithmRun,algorithm_builds; validation_runs; algorithm_logs,Object storage: algorithm_artifacts/; run_logs/,POST /algorithm/builds; POST /validation-runs,Container runtime (Docker); Artifact registry (opcional),Validar checksum de build; schema de inputs/outputs; timeout; recursos máximos por run.,algorithm_build_registered; validation_run_started; validation_run_finished,Notificación al completar run (opcional),Integration: containerized runner; Unit: I/O schema validator,"Con mismo dataset + build + parámetros, los outputs son reproducibles (o dentro de tolerancia); build_id queda registrado en run.",RM-022,BACKLOG,MVP v0.1,Backend/Quant
RM-022,Validación de algoritmo,Constructor de datasets (feature matrix),"El sistema deberá construir datasets de validación desde datos normalizados (features, targets/labels si aplica) con ventanas temporales explícitas y metadatos (schema_version, broker_set, feature_list).",Alta (P0),Quant; Analista,Run Explorer > Dataset (detalle),DatasetArtifact; FeatureSpec,datasets; dataset_versions; dataset_features,Object storage: datasets/ (csv/parquet),POST /datasets/build; GET /datasets/{id},Object storage; Compute worker,Validación de schema; consistencia temporal; no incluir brokers sin min_data (configurable).,dataset_built; dataset_build_failed,—,Unit: feature builder; Integration: persistence; Contract: dataset schema version,Dataset incluye metadatos completos; se puede re-descargar; se reproduce con mismos parámetros.,RM-010,BACKLOG,MVP v0.1,Quant/Backend
RM-023,Validación de algoritmo,Runner de backtests/experimentos,"El sistema deberá ejecutar runs de validación sobre datasets seleccionados, guardando parámetros, logs, outputs, y métricas de ejecución. Debe soportar tipos de run (train/validate/test) si aplica.",Alta (P0),Quant; Analista,Run Explorer (lista); Run Explorer > Detalle,ValidationRun; Experiment; RunResult,validation_runs; run_results; experiment_params,Object storage: run_outputs/; run_logs/,POST /validation-runs; GET /validation-runs; GET /validation-runs/{id},Queue/worker; Container runtime,Validar parámetros requeridos; evitar duplicados (idempotency key); límites de tiempo y recursos.,validation_run_enqueued; validation_run_started; validation_run_failed; validation_run_finished,Notificación por fallo o finalización (opcional),Integration: job orchestration; E2E: run from UI; Load tests,Runs son reproducibles; parámetros quedan capturados; resultados almacenados; fallos tienen logs accionables.,"RM-021,RM-022",BACKLOG,MVP v0.1,Quant/Backend
RM-024,Validación de algoritmo,Métricas de evaluación y scorecards,"El sistema deberá calcular métricas de evaluación (error, estabilidad, violaciones de constraints, uplift vs baseline) según el objetivo del cliente, con thresholds configurables para pass/fail.",Alta (P0),Quant; Analista; Viewer,Run Explorer > Scorecard; Dashboard > Validación (resumen),EvaluationMetric; Scorecard,evaluation_metrics; scorecards; thresholds,—,GET /validation-runs/{id}/scorecard; GET /scorecards/summary,—,Formulas versionadas; baseline explícito; thresholds por proyecto; tolerancias definidas.,scorecard_generated; threshold_updated,Notificación opcional cuando run FAIL,Unit: formulas; Integration: baseline compare; Snapshot tests UI,Scorecard incluye métricas + baseline + pass/fail; thresholds configurables; resultados se reflejan en dashboard y reportes.,"RM-023,RM-013",BACKLOG,MVP v0.1,Quant
RM-025,Validación de algoritmo,Diagnósticos y sensibilidad,"El sistema deberá generar diagnósticos para runs (p.ej. análisis de fallos, frecuencia de constraints activas, ablation/feature importance si aplica) y exportarlos en reporte técnico.",Media (P1),Quant; Analista,Run Explorer > Diagnósticos; Reporte (sección técnica),DiagnosticReport; FailureCase,diagnostic_reports; failure_cases,Object storage: diagnostics/,GET /validation-runs/{id}/diagnostics,—,"Si modelo no soporta feature importance, generar diagnóstico alternativo; capturar casos representativos.",diagnostics_generated,—,Integration: diag pipeline; Unit: summary builder,Diagnósticos identifican segmentos problemáticos; incluyen evidencia y parámetros; se pueden comparar entre runs.,"RM-023,RM-024",BACKLOG,v0.2,Quant
RM-026,Validación de algoritmo,What-if y parameter sweeps,"El sistema deberá permitir ejecutar batch de escenarios (fees ±x, imputación, distintos thresholds) y comparar resultados en una tabla/visualización única.",Media (P1),Quant; Analista,Run Explorer > Sweeps (tabla),Scenario; Sweep; ValidationRun,sweeps; sweep_scenarios; validation_runs,Object storage: sweep_outputs/,POST /sweeps; GET /sweeps/{id},Queue/worker,Validar rango de parámetros; límite de combinaciones; cancelación de sweeps.,sweep_created; sweep_started; sweep_completed; sweep_cancelled,Notificación al completar sweep (opcional),Integration: batch execution; Load tests,Se puede configurar y ejecutar un sweep sin scripting manual; resultados comparables y exportables; ejecución respetando límites.,RM-023,BACKLOG,v0.2,Quant/Backend
RM-027,Reportes,Plantillas y generación de reportes,"El sistema deberá generar reportes (HTML/PDF) a partir de plantillas con secciones: overview brokers, tablas de métricas, scorecards de validación, anomalías y appendix de metodología + versiones.",Alta (P0),Analista; Viewer; Admin,Reportes > Lista; Reporte > Vista,Report; ReportTemplate,reports; report_templates; report_sections,Object storage: reports/ (pdf/html),POST /reports/generate; GET /reports; GET /reports/{id},Template engine; Object storage,Validar template; timeouts; incluir versiones (parser/mapping/metric/algorithm); incluir fecha/hora.,report_generated; report_failed; report_downloaded,Entrega por link; email/webhook (opcional),E2E: generar y abrir; Unit: render sections; Performance: <60s para 100 brokers (configurable),Reporte se genera y es legible; incluye versiones y metodología; se puede descargar; coincide con dashboard para mismos filtros.,"RM-014,RM-024,RM-020",BACKLOG,MVP v0.1,Backend
RM-028,Reportes,Distribución programada,"El sistema deberá soportar generación y distribución programada de reportes (link seguro, email y/o webhook), con reintentos y alertas de falla.",Baja (P2),Admin; DevOps; Sistema,Admin > Distribución de reportes,ReportSchedule; DeliveryAttempt,report_schedules; report_deliveries,Object storage: reports/,POST/PUT /report-schedules; POST /reports/{id}/deliver,SMTP; Webhook; Scheduler,Validar destinatarios; expiración de links; firma/nonce; reintentos limitados.,report_delivery_attempted; report_delivery_failed; report_delivery_succeeded,Email/webhook a destinatarios; alerta a Admin si falla,Integration: SMTP/webhook; Unit: link signing,Reportes se entregan en schedule; fallas generan alertas; links requieren auth o token expirable.,"RM-027,RM-004,RM-034",BACKLOG,v0.3,Backend/DevOps
RM-029,Dashboard,Vistas core del dashboard,"El sistema deberá proveer dashboard con: lista de brokers + filtros, página detalle broker con charts, y resumen de validación del algoritmo; debe soportar drill-down a lineage.",Alta (P0),Viewer; Analista; Admin,Dashboard > Brokers; Dashboard > Broker; Dashboard > Validación,DashboardView; Filter; Chart,— (UI),—,GET /brokers; GET /brokers/{id}; GET /brokers/{id}/metrics; GET /scorecards/summary,Frontend SPA; API REST/GraphQL,Filtros deben coincidir entre UI y API; paginación; límites de consulta; control de permisos.,ui_view_accessed; filter_applied (opcional),—,E2E: flujos principales; UI tests; Performance: P95 <2s para consultas típicas,UI permite explorar brokers y métricas; drill-down funciona; permisos se respetan; tiempos de respuesta cumplen objetivos.,"RM-014,RM-017,RM-020,RM-033,RM-034",BACKLOG,MVP v0.1,Frontend
RM-030,Dashboard,Comparaciones y rankings,"El sistema deberá permitir comparación side-by-side de brokers y tablas de ranking con columnas configurables, ordenamiento y exportación.",Alta (P0),Viewer; Analista,Dashboard > Rankings; Dashboard > Comparar,ComparisonSet; RankingSnapshot,ranking_snapshots; comparison_sets (opcional),—,GET /rankings; GET /compare?broker_ids=...,Frontend SPA; API REST/GraphQL,Columnas permitidas; ordenar por metric+period; manejo determinístico de empates; coherencia con benchmarks.,comparison_created (opcional),—,E2E: comparar; Unit: ranking; Snapshot tests UI,"Usuarios pueden seleccionar brokers, comparar y ver ranking; descarga CSV coincide con lo mostrado; incluye completitud/anomalías.","RM-017,RM-032,RM-018,RM-019",BACKLOG,MVP v0.1,Frontend
RM-031,Dashboard,Explorador de runs/experimentos,"El sistema deberá proveer UI para explorar runs (filtros por versión, parámetros, fecha, estado) y comparar 2+ runs, mostrando diffs y scorecards.",Media (P1),Analista; Quant,Run Explorer (lista); Run Explorer (detalle); Comparar runs,ValidationRun; Experiment,—,—,GET /validation-runs; GET /validation-runs/{id}; GET /validation-runs/compare,Frontend SPA; API REST/GraphQL,Comparación sólo de runs compatibles (schema/dataset); paginación; redacción de logs sensibles.,run_viewed; run_compared (opcional),—,E2E: filtros; Unit: compatibilidad; UI tests,UI permite filtrar y abrir runs; comparación muestra diffs; scorecards visibles; logs accesibles con permisos.,"RM-023,RM-024,RM-034",BACKLOG,v0.2,Frontend
RM-032,Exportación,Exports de datos y resultados,"El sistema deberá exportar (CSV/JSON) registro de brokers, métricas y resultados de runs con metadatos de schema y unidades; exports grandes deben ser asíncronos.",Alta (P0),Analista; Admin,Dashboard > Exportar; Admin > Export jobs (opcional),ExportJob; ExportArtifact,export_jobs; export_artifacts,Object storage: exports/,POST /exports; GET /exports/{id}; GET /exports/{id}/download,Object storage; Queue/worker,Validar filtros; límite de tamaño; expiración de links; incluir schema_version; orden estable de columnas.,export_requested; export_generated; export_downloaded; export_failed,Notificación al terminar export (opcional),Integration: async jobs; E2E: export from UI; Security tests,Exports coinciden con filtros de UI; incluyen metadatos; enlaces seguros; exports grandes no bloquean UI.,"RM-010,RM-013,RM-034",BACKLOG,MVP v0.1,Backend
RM-033,Seguridad,Autenticación,"El sistema deberá requerir autenticación para dashboard, reportes y exports (email/password o SSO/OIDC), con sesiones seguras, CSRF donde aplique y políticas de password.",Alta (P0),Admin; Viewer; Analista,Login; Reset password; Perfil,User; Session,users; sessions; password_resets,—,POST /auth/login; POST /auth/logout; POST /auth/reset; GET /me,OIDC (opcional); SMTP (reset),Hash fuerte; rate-limit login; MFA opcional; sesiones con expiración; cookies secure/httpOnly.,auth_login_success; auth_login_failed; password_reset_requested,Email reset password; alertas de intentos sospechosos (opcional),Security tests; Unit: auth; Integration: OIDC; E2E: login flow,Acceso no autenticado es bloqueado; login/logout funcionan; sesiones expiran; eventos de seguridad quedan auditados.,—,BACKLOG,MVP v0.1,Backend/DevOps
RM-034,Seguridad,Autorización y roles (RBAC),"El sistema deberá implementar RBAC (Admin, Analista, Viewer) controlando: alta/edición brokers, ejecución runs, exports, cambios de políticas y acceso a auditorías.",Alta (P0),Admin; Analista; Viewer,Admin > Usuarios/Roles; UI restringida,Role; Permission; UserRole,roles; permissions; user_roles; role_permissions,—,GET/PUT /roles; POST /users/{id}/roles; policy enforcement en endpoints,—,Denegar por defecto; validar permisos por endpoint; no filtrar datos sensibles a roles no permitidos.,rbac_role_assigned; permission_denied,Notificación a Admin cuando cambian roles (opcional),Unit: permission matrix; Integration: endpoint guards; E2E: role scenarios,Acciones no autorizadas retornan 403; UI oculta acciones restringidas; logs de auditoría registran actor y outcome.,RM-033,BACKLOG,MVP v0.1,Backend/Frontend
RM-035,Seguridad,Gestión de secretos,"El sistema deberá gestionar secretos (API keys, SMTP, webhooks) fuera del repositorio (env/secret manager) y activar detección de secretos en CI.",Alta (P0),DevOps,—,SecretRef; Config,—,Secret manager / env vars,—,Secrets manager; CI secret scanning,Nunca persistir secretos en DB sin cifrado; rotación documentada; CI falla si detecta secretos.,secret_rotated (opcional); ci_secret_scan_failed,—,CI tests; secret scanning; manual rotation drill,Secret scanning pasa; no hay secretos en repo; procedimientos de rotación y rollback documentados.,RM-043,BACKLOG,MVP v0.1,DevOps
RM-036,Observabilidad,Logging estructurado con correlación,"El sistema deberá emitir logs estructurados (JSON) para ingesta, transformación, métricas y runs con correlation_id (run_id, broker_id, job_id) y niveles consistentes.",Alta (P0),DevOps; Backend,Admin > Logs (opcional),LogEvent,— (si logs externos),Log storage (ELK/Cloud),—,Log aggregator (ELK/Datadog),"Campos mínimos: timestamp, level, correlation_id, broker_id, event, error; no loggear PII/secrets.",log_emitted; log_redacted (opcional),Alertas sobre errores críticos (vía monitoreo),Integration: log pipeline; Unit: logger formatter,Se puede rastrear un run end-to-end por correlation_id; logs son consultables y no exponen secretos.,"RM-004,RM-023",BACKLOG,MVP v0.1,DevOps
